Time, Wall_X, Displacement(σ), Left_Count, Right_Count, Packing_UNITLESS, Packing_ACTUAL_BOUND, Packing_ACTUAL_WITH_WALLBUFFER
0.189, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.190, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.192, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.194, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.195, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.197, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.198, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.200, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.202, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.203, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.205, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.206, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.208, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.210, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.211, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.213, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.214, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.216, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.218, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.219, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.221, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.222, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.224, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.226, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.227, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.229, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.230, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.232, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.234, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.235, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.237, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.238, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.240, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
