eta,N,L0,M,n_runs,nu_mean,nu_sd,c_s_mass
0.50,400,15.707963,200,10,0.06385802348,0.00115204,5.470716
0.50,400,15.707963,500,10,0.04748160115,0.00096715,5.537630
0.50,400,15.707963,1000,10,0.03526477218,0.00107275,5.484068
0.50,400,15.707963,2000,10,0.02573006426,0.000418375,5.484112
0.50,900,23.561945,50,10,0.05880008394,0.0035587,5.594512
0.50,900,23.561945,200,10,0.04906527738,0.00112159,5.380322
0.50,900,23.561945,500,10,0.04098360595,0.000520488,5.554289
0.50,900,23.561945,1000,10,0.03182837148,0.000527826,5.447198
0.50,900,23.561945,2000,10,0.0242570896,0.000335023,5.500721
0.50,1600,31.415928,50,10,0.04303792912,0.00142836,5.395223
0.50,1600,31.415928,200,10,0.0398863185,0.000929717,5.448763
0.50,1600,31.415928,500,10,0.03434143548,0.000915876,5.421974
0.50,1600,31.415928,1000,10,0.02905791531,0.000223575,5.502326
0.50,1600,31.415928,2000,10,0.02279365532,0.000314811,5.502282
0.60,100,6.544985,50,10,0.2615999969,0.0212038,8.425401
0.60,100,6.544985,200,10,0.1552511395,0.0065005,8.242502
0.60,100,6.544985,500,10,0.1014077678,0.00386059,8.125702
0.60,100,6.544985,1000,10,0.07304771222,0.00200829,8.144983
0.60,100,6.544985,2000,10,0.05220194606,0.00179686,8.164329
0.60,400,13.089969,50,10,0.1516400769,0.00756701,8.223755
0.60,400,13.089969,200,10,0.1154377227,0.00447205,8.126227
0.60,400,13.089969,500,10,0.08682422029,0.00209513,8.320550
0.60,400,13.089969,1000,10,0.06404827637,0.00208472,8.184303
0.60,400,13.089969,2000,10,0.04717504656,0.000784889,8.262097
0.60,900,19.634954,50,10,0.1049938078,0.00334271,8.248941
0.60,900,19.634954,200,10,0.09066819315,0.00317066,8.209925
0.60,900,19.634954,500,10,0.074926116,0.00264916,8.384974
0.60,900,19.634954,1000,10,0.05878169051,0.00159619,8.307131
0.60,900,19.634954,2000,10,0.04415431469,0.00156798,8.268074
0.60,1600,26.179939,50,10,0.07877461645,0.00250078,8.173793
0.60,1600,26.179939,200,10,0.07297762378,0.0025913,8.251691
0.60,1600,26.179939,500,10,0.06299329799,0.00186398,8.232138
0.60,1600,26.179939,1000,10,0.05252266006,0.000838064,8.232048
0.60,1600,26.179939,2000,10,0.04178435704,0.000718676,8.348759
0.65,100,6.041524,50,10,0.3605999957,0.020871,10.554644
0.65,100,6.041524,200,10,0.2266321995,0.00818673,10.934801
0.65,100,6.041524,500,10,0.1518148147,0.00559046,11.055256
0.65,100,6.041524,1000,10,0.1076660436,0.00270426,10.910065
0.65,100,6.041524,2000,10,0.0769274305,0.00114618,10.934024
0.65,400,12.083049,50,10,0.215224798,0.0104688,10.697956
0.65,400,12.083049,200,10,0.1639364737,0.009366,10.577160
0.65,400,12.083049,500,10,0.120413317,0.004509,10.576402
0.65,400,12.083049,1000,10,0.08968486238,0.00278952,10.503782
0.65,400,12.083049,2000,10,0.0633245375,0.00213225,10.164881
0.65,900,18.124573,50,10,0.1426094718,0.0105223,10.294917
0.65,900,18.124573,200,10,0.1257641906,0.00669508,10.463601
0.65,900,18.124573,500,10,0.09964272993,0.00223474,10.245994
0.65,900,18.124573,1000,10,0.08020891505,0.00215389,10.415297
0.65,900,18.124573,2000,10,0.06025198795,0.00207747,10.366749
0.65,1600,24.166098,50,10,0.1078862735,0.00636034,10.298267
0.65,1600,24.166098,200,10,0.09760453362,0.00319211,10.152756
0.65,1600,24.166098,500,10,0.08686888923,0.00200429,10.443432
0.65,1600,24.166098,1000,10,0.07192672776,0.00260347,10.370798
0.65,1600,24.166098,2000,10,0.05615731005,0.00217055,10.322269
