u,seed,t_stop,Px_stop,KE_stop,KE_left_stop,KE_right_stop,W_stop,Px_end,KE_end
0.01,9234,418.000022,24.91912696428,107.4981965528,50.00003031557,57.49816623727,7.498204762,4.624903778274,107.4981830244
0.01,9235,418.000022,-0.5979158041956,107.4381885826,50.0000153382,57.43817324444,7.438192212,-16.33506235681,107.4381781793
0.01,9236,418.000022,-20.34719239942,107.5996794458,50.00002033986,57.59965910594,7.599683616,4.105043043746,107.5996636697
0.01,9237,418.000022,-5.564812089136,107.4466117026,50.00001257859,57.44659912406,7.446614767,8.550832820349,107.4465948157
0.01,9238,418.000022,1.582339540186,107.5569629437,50.00002095178,57.55694199194,7.556968357,-4.789527392342,107.5569485209
0.01,9239,418.000022,-1.207893953819,107.4249760268,50.00002407221,57.42495195459,7.42498056,-4.794049949113,107.4249630436
0.01,9240,418.000022,12.58847953781,107.5337615715,50.00001452884,57.53374704262,7.533766126,-0.8520036738449,107.533752995
0.01,9241,418.000022,-2.677838529014,107.6234772633,50.00002567019,57.62345159315,7.623482608,-4.4429102464,107.6234635734
0.01,9242,418.000022,0.250213554324,107.6017148354,50.000034374,57.60168046141,7.601722093,-12.53264487256,107.6017006622
0.01,9243,418.000022,5.328109908388,107.3665251107,50.00002066322,57.36650444744,7.366531227,-0.624215002182,107.3665113275
0.01,9244,418.000022,-2.567829159959,107.2437677817,50.00001399741,57.24375378432,7.243770474,14.93065638085,107.2437539799
0.01,9245,418.000022,-4.234263909303,107.6402048784,50.00002235604,57.64018252232,7.640211513,-10.5668943148,107.640189696
0.01,9246,418.000022,-2.262130157604,107.5576841064,50.00002045426,57.55766365214,7.55769056,0.9725103803653,107.5576689443
0.01,9247,418.000022,-3.135848641147,107.2135621806,50.00001328367,57.21354889695,7.213565066,2.306099231206,107.2135505796
0.01,9248,418.000022,-2.067484039556,107.5263649523,50.00001845248,57.52634649982,7.526368573,11.18377776009,107.5263519969
0.01,9249,418.000022,13.55782933603,107.4039599828,50.00001587464,57.40394410818,7.403964515,-13.48044565295,107.4039472749
0.01,9250,418.000022,6.373145261321,107.2699222697,50.00000399586,57.26991827385,7.269924023,-12.68126571633,107.2699153014
