variant,eta,N,L0,M,n_runs,nu_mean,nu_sem,c_s,c_s_err,c_s_point,c_s_point_err,slope_dcs_dlog10M,slope_err,t_stat
nocut,0.10,100,39.269909,2000,10,0.00162586575,8.734e-06,1.76294,0.00947,1.76174,0.00309,0.00644,0.00968,0.67
nocut,0.10,400,78.539818,50,10,0.00357697271,0.0007454,1.24672,0.25979,1.74440,0.00434,0.00444,0.01973,0.23
nocut,0.10,400,78.539818,200,10,0.00387080236,3.725e-05,1.75122,0.01685,1.74440,0.00434,0.00444,0.01973,0.23
nocut,0.10,400,78.539818,500,10,0.00282439709,1.403e-05,1.73954,0.00864,1.74440,0.00434,0.00444,0.01973,0.23
nocut,0.10,400,78.539818,1000,10,0.00212560653,7.062e-06,1.74564,0.00580,1.74440,0.00434,0.00444,0.01973,0.23
nocut,0.10,400,78.539818,2000,10,0.00155086402,9.249e-06,1.74562,0.01041,1.74440,0.00434,0.00444,0.01973,0.23
nocut,0.10,900,117.809723,50,10,0.00285744523,0.0004578,1.40911,0.22576,1.74532,0.00709,-0.01696,0.02164,-0.78
nocut,0.10,900,117.809723,200,10,0.00306116121,3.042e-05,1.73982,0.01729,1.74532,0.00709,-0.01696,0.02164,-0.78
nocut,0.10,900,117.809723,500,10,0.00250134783,1.261e-05,1.75702,0.00886,1.74532,0.00709,-0.01696,0.02164,-0.78
nocut,0.10,900,117.809723,1000,10,0.0019548279,2.66e-05,1.73401,0.02360,1.74532,0.00709,-0.01696,0.02164,-0.78
nocut,0.10,900,117.809723,2000,10,0.00147536796,8.857e-06,1.73406,0.01041,1.74532,0.00709,-0.01696,0.02164,-0.78
nocut,0.10,1600,157.079636,50,10,0.00247689788,0.0002659,1.59466,0.17120,1.74674,0.00231,0.00332,0.00966,0.34
nocut,0.10,1600,157.079636,200,10,0.00249632111,2.062e-05,1.75137,0.01447,1.74674,0.00231,0.00332,0.00966,0.34
nocut,0.10,1600,157.079636,500,10,0.00215263145,7.152e-06,1.74546,0.00580,1.74674,0.00231,0.00332,0.00966,0.34
nocut,0.10,1600,157.079636,1000,10,0.00179487152,1.07e-05,1.74549,0.01041,1.74674,0.00231,0.00332,0.00966,0.34
nocut,0.10,1600,157.079636,2000,10,0.00141248206,9.354e-06,1.75111,0.01160,1.74674,0.00231,0.00332,0.00966,0.34
nocut,0.30,100,13.089969,50,10,0.0252660293,0.006431,1.78229,0.45366,2.90387,0.01068,0.01055,0.02821,0.37
nocut,0.30,100,13.089969,200,10,0.0249042146,0.0001064,2.89591,0.01238,2.90387,0.01068,0.01055,0.02821,0.37
nocut,0.30,100,13.089969,500,10,0.0166605199,0.0001183,2.92392,0.02076,2.90387,0.01068,0.01055,0.02821,0.37
nocut,0.30,100,13.089969,1000,10,0.0118966291,8.112e-05,2.90533,0.01981,2.90387,0.01068,0.01055,0.02821,0.37
nocut,0.30,100,13.089969,2000,10,0.00848145937,4.139e-05,2.90530,0.01418,2.90387,0.01068,0.01055,0.02821,0.37
nocut,0.30,400,26.179939,50,10,0.0205847378,0.003297,2.32986,0.37321,2.88128,0.01288,0.05603,0.03388,1.65
nocut,0.30,400,26.179939,200,10,0.0191432904,0.0001348,2.81246,0.01981,2.88128,0.01288,0.05603,0.03388,1.65
nocut,0.30,400,26.179939,500,10,0.0144337691,4.641e-05,2.88682,0.00928,2.88128,0.01288,0.05603,0.03388,1.65
nocut,0.30,400,26.179939,1000,10,0.0108241583,6.248e-05,2.88667,0.01666,2.88128,0.01288,0.05603,0.03388,1.65
nocut,0.30,400,26.179939,2000,10,0.00792280345,3.386e-05,2.89591,0.01238,2.88128,0.01288,0.05603,0.03388,1.65
nocut,0.30,900,39.269909,50,10,0.0124103267,0.002587,2.00507,0.41794,2.85822,0.01754,0.03206,0.06119,0.52
nocut,0.30,900,39.269909,200,10,0.0152043868,0.000134,2.83117,0.02495,2.85822,0.01754,0.03206,0.06119,0.52
nocut,0.30,900,39.269909,500,10,0.012383097,6.161e-05,2.84977,0.01418,2.85822,0.01754,0.03206,0.06119,0.52
nocut,0.30,900,39.269909,1000,10,0.0100281042,7.061e-05,2.91434,0.02052,2.85822,0.01754,0.03206,0.06119,0.52
nocut,0.30,900,39.269909,2000,10,0.0073756313,5.329e-05,2.84016,0.02052,2.85822,0.01754,0.03206,0.06119,0.52
nocut,0.30,1600,52.359879,50,10,0.00841171619,0.002171,1.78206,0.45989,2.85838,0.01182,0.02254,0.04855,0.46
nocut,0.30,1600,52.359879,200,10,0.0111374576,0.001197,2.57122,0.27642,2.85838,0.01182,0.02254,0.04855,0.46
nocut,0.30,1600,52.359879,500,10,0.0106794894,5.314e-05,2.84951,0.01418,2.85838,0.01182,0.02254,0.04855,0.46
nocut,0.30,1600,52.359879,1000,10,0.0089917693,6.115e-05,2.87745,0.01957,2.85838,0.01182,0.02254,0.04855,0.46
nocut,0.30,1600,52.359879,2000,10,0.00700785317,3.034e-05,2.85887,0.01238,2.85838,0.01182,0.02254,0.04855,0.46
nocut,0.50,100,7.853982,50,10,0.0980016697,0.02066,3.91915,0.82626,5.55573,0.01590,-0.00304,0.04854,-0.06
nocut,0.50,100,7.853982,200,10,0.0846036585,0.0005423,5.57723,0.03575,5.55573,0.01590,-0.00304,0.04854,-0.06
nocut,0.50,100,7.853982,500,10,0.0557111218,0.0003021,5.54289,0.03006,5.55573,0.01590,-0.00304,0.04854,-0.06
nocut,0.50,100,7.853982,1000,10,0.0400387081,0.0002822,5.54330,0.03908,5.55573,0.01590,-0.00304,0.04854,-0.06
nocut,0.50,100,7.853982,2000,10,0.0286293278,0.000115,5.55968,0.02233,5.55573,0.01590,-0.00304,0.04854,-0.06
nocut,0.50,400,15.707963,50,10,0.0587639311,0.01196,3.88502,0.79051,5.49665,0.02402,0.04469,0.07213,0.62
nocut,0.50,400,15.707963,200,10,0.0638087092,0.000508,5.47580,0.04360,5.49665,0.02402,0.04469,0.07213,0.62
nocut,0.50,400,15.707963,500,10,0.0471630127,0.0003345,5.50984,0.03908,5.49665,0.02402,0.04469,0.07213,0.62
nocut,0.50,400,15.707963,1000,10,0.0351542598,0.0002799,5.47619,0.04360,5.49665,0.02402,0.04469,0.07213,0.62
nocut,0.50,400,15.707963,2000,10,0.0258823529,0.0002025,5.52596,0.04324,5.49665,0.02402,0.04469,0.07213,0.62
nocut,0.50,900,23.561945,50,10,0.0358647996,0.009174,3.41613,0.87378,5.44929,0.03270,0.12637,0.17803,0.71
nocut,0.50,900,23.561945,200,10,0.0451565498,0.004863,4.95720,0.53382,5.44929,0.03270,0.12637,0.17803,0.71
nocut,0.50,900,23.561945,500,10,0.0407357116,0.000368,5.52682,0.04993,5.44929,0.03270,0.12637,0.17803,0.71
nocut,0.50,900,23.561945,1000,10,0.0314744226,0.0001303,5.39260,0.02233,5.44929,0.03270,0.12637,0.17803,0.71
nocut,0.50,900,23.561945,2000,10,0.0241946897,9.835e-05,5.49266,0.02233,5.44929,0.03270,0.12637,0.17803,0.71
