eta,L0,M,rms_full,rms_2nd_half,sd_traj,ZetaZp,Z2,r_iso_L0,r_iso_Leff,r_adi_L0,r_adi_Leff,used,disc
0.052360,74.9998,200,5.814127732212477,5.959958827469448,4.966745272665255,1.237828599328316,1.2408838578071613,0.8841244696810283,0.8960721299406645,1.251112113362842,1.2680190795081945,25,0
0.052360,74.9998,1000,4.882263896194674,5.264969948294675,4.575839619123545,1.237828599328316,1.2408838578071613,0.7810270000470808,0.7915814474921696,1.1052203328054904,1.1201557830743492,25,0
0.078540,49.9999,50,4.090432523908545,4.399591020800383,3.719104119495956,1.3814400515230072,1.389244320982992,1.0342110956962833,1.0553174876623135,1.4646595877222806,1.4945506607188026,25,0
0.078540,49.9999,200,3.552687802859421,3.804868560648452,3.0942291615467963,1.3814400515230072,1.389244320982992,0.8944097904747306,0.9126630887564562,1.2666716499396362,1.2925221445312502,25,0
0.078540,49.9999,1000,3.086894723767736,3.2887950421482897,2.8755411604472214,1.3814400515230072,1.389244320982992,0.7730964782817277,0.7888739896293371,1.094866583680699,1.1172108452747165,25,0
0.112200,34.9999,50,2.5672388580384817,2.536646229730039,2.3547260939236137,1.5960184614588395,1.6148511108632495,0.915613220684387,0.9425431004982803,1.298686816586775,1.3368836000063373,25,0
0.112200,34.9999,200,2.25855249105571,2.4946612366044056,1.9902581350923065,1.5960184614588395,1.6148511108632495,0.9004585592555979,0.9269427124223896,1.277191758889057,1.3147563328698348,25,0
0.112200,34.9999,1000,2.01496912351419,2.123543772384423,1.929715433038171,1.5960184614588395,1.6148511108632495,0.7665021357369568,0.7890463825064167,1.0871907439509594,1.119167036350377,25,0
0.130900,29.9999,50,2.15296536716461,2.1497751087785972,1.966222573704583,1.7322077160864082,1.7604061948451866,0.9431335786418988,0.9756555383259632,1.339209473216263,1.385389269464397,25,0
0.130900,29.9999,200,1.7755786286105975,1.9377219877858698,1.652197187956288,1.7322077160864082,1.7604061948451866,0.8501031876733839,0.8794171917793768,1.2071102841899832,1.2487349202814864,25,0
0.130900,29.9999,1000,1.5100143303681577,1.6285181702624068,1.4371414877092903,1.7322077160864082,1.7604061948451866,0.7144515552027085,0.7390879006798553,1.014490749294856,1.0494733095552313,25,0
