eta,L0,KR,2_25,3_25,4_25,8_25,16_25,w3_25,d2_25,d3_25,d4_25,d8_25,d16_25,2_200,3_200,4_200,8_200,16_200,w3_200,d2_200,d3_200,d4_200,d8_200,d16_200,drift_edge_0.1_median,drift_edge_0.1_worst,drift_edge_0.01_median,drift_edge_0.01_worst,res_edge_0.1_median,res_edge_0.1_worst,res_edge_0.01_median,res_edge_0.01_worst,maxabove_k2_worst,maxabove_k3_worst,maxabove_k4_worst,maxabove_k8_worst,maxabove_k16_worst
0.157080,24.9999,1.984948135780803,2.014393003756927,2.014393003756927,2.014393003756927,2.014393003756927,2.014393003756927,2.014393003756927,0.0,0.0,0.0,0.0,0.0,1.5270456246485935,1.68081283828829,1.8466552639715745,2.0182626182110948,2.0182626182110948,2.0182626182110948,-24.33860634043234,-16.719815195403378,-8.502726686362845,0.0,0.0,0.004878048780487805,0.05472636815920398,0.024390243902439025,0.35323383084577115,0.975609756097561,0.9104477611940298,0.8926829268292683,0.5572139303482587,1.5967118233381088,1.3917984000714745,0.7474150199485906,0.26870818707546923,0.0630514934630136
0.196350,20.0000,2.1798054812196286,2.219547452468426,2.219547452468426,2.219547452468426,2.219547452468426,2.219547452468426,2.219547452468426,0.0,0.0,0.0,0.0,0.0,1.479187493926808,1.917021778309206,2.1493701315916622,2.213871675790755,2.213871675790755,2.213871675790755,-33.18549082577387,-13.408631617075075,-2.9135177483154724,0.0,0.0,0.009708737864077669,0.06341463414634146,0.03398058252427184,0.48292682926829267,0.9660194174757282,0.8975609756097561,0.883495145631068,0.5170731707317073,3.2623068600781764,1.3399123669093391,0.9278493887407737,0.226220339163356,0.058355667665784816
0.261799,15.0000,2.572551171599921,2.586402153619399,2.6176451513860504,2.6176451513860504,2.6176451513860504,2.6176451513860504,2.6176451513860504,-1.1935535933932084,0.0,0.0,0.0,0.0,1.7371299980999217,2.2679440424780855,2.470728289866584,2.6176674993919318,2.6176674993919318,2.6176674993919318,-33.63824861242131,-13.360117623612814,-5.613364170945354,0.0,0.0,0.00966183574879227,0.05825242718446602,0.033816425120772944,0.49514563106796117,0.9758454106280193,0.9029126213592233,0.8357487922705314,0.5097087378640777,3.3877889329805493,1.4402876363958148,0.7714005645786932,0.24438737406674332,0.06017205198354787
0.392699,10.0000,3.746079766236013,3.7577625839427053,3.8190193396545253,3.8190193396545253,3.8190193396545253,3.8190193396545253,3.8190193396545253,-1.6039917650001052,0.0,0.0,0.0,0.0,2.277806717839762,2.738487330525357,3.234338467345753,3.819444621485955,3.819444621485955,3.819444621485955,-40.36288142453598,-28.30142594239399,-15.319142234678258,0.0,0.0,0.009302325581395349,0.08571428571428572,0.04186046511627907,0.49523809523809526,0.9488372093023256,0.8523809523809524,0.8372093023255814,0.5,3.617687302867668,3.12818589157991,1.756528426403632,0.34679629070243007,0.1269161492730724
0.523599,7.5000,5.932127977955907,6.089890907621402,6.089890907621402,6.089890907621402,6.089890907621402,6.089890907621402,6.089890907621402,0.0,0.0,0.0,0.0,0.0,2.658511870473137,3.5175266098836686,4.704261589648149,6.021352562506856,6.111657336206191,6.111657336206191,-56.500966526316944,-42.4456179988132,-23.028053916250524,-1.4775824090195488,0.0,0.017857142857142856,0.12389380530973451,0.08035714285714286,0.49557522123893805,0.9241071428571429,0.7300884955752213,0.65625,0.49777777777777776,9.778098465750935,5.578152601194383,2.619030547633748,0.8502599730010655,0.2006996532606271
0.549999,7.1400,6.601846652256098,6.755740966647193,6.755740966647193,6.755740966647193,6.755740966647193,6.755740966647193,6.755740966647193,0.0,0.0,0.0,0.0,0.0,2.4065343076542214,3.854218116480876,4.73199668303878,6.295143279926241,6.767433714723941,6.767433714723941,-64.43948460967839,-43.047567527773,-30.076940794509007,-6.978870495179515,0.0,0.022321428571428572,0.12612612612612611,0.10267857142857142,0.4954954954954955,0.9151785714285714,0.6396396396396397,0.59375,0.4978165938864629,12.124342104303365,5.825526455880858,4.30454522344352,1.0957977230931117,0.2828156538748847
0.569996,6.8895,7.187661854020839,7.090257221734178,7.315266478755826,7.315266478755826,7.315266478755826,7.315266478755826,7.315266478755826,-3.075885993696812,0.0,0.0,0.0,0.0,2.825138598407488,3.76664566947287,4.495130491985063,6.742088594173905,7.247882707945024,7.247882707945024,-61.02118767304813,-48.03108961264056,-37.9800877978121,-6.97850854038622,0.0,0.026785714285714284,0.16591928251121077,0.48214285714285715,0.49557522123893805,0.8839285714285714,0.6816143497757847,0.5,0.4977578475336323,14.946264956895465,6.007029931974091,2.8640553443980865,0.9347612588830464,0.38302369488355054
0.590001,6.6559,7.854710064972021,7.592010524435362,7.8648732647401705,7.8648732647401705,7.8648732647401705,7.8648732647401705,7.8648732647401705,-3.4693850888622424,0.0,0.0,0.0,0.0,2.3132296168582234,3.9726263821392815,4.839189918461594,7.327910704342375,7.960315289859119,7.960315289859119,-70.94047744810919,-50.09461010671113,-39.20856470815445,-7.944466550494345,0.0,0.03125,0.19047619047619047,0.49327354260089684,0.4956896551724138,0.8834080717488789,0.6190476190476191,0.5,0.4977578475336323,13.762130514066722,7.570459820482683,5.271660106544532,1.001382039754926,0.3164318953604054
0.609999,6.4377,8.615615852995166,8.162983201771187,8.508072703894571,8.606669704501254,8.606669704501254,8.606669704501254,8.606669704501254,-5.155147321361951,-1.1455882936360007,0.0,0.0,0.0,2.3470758673849366,3.949405619159348,5.082285937738874,7.769344091313573,8.506993772679532,8.617417015254832,-72.76358027898539,-54.1694963564142,-41.023093941699166,-9.841381964456085,-1.2813960654314922,0.03111111111111111,0.4956140350877193,0.49333333333333335,0.4956521739130435,0.8177777777777778,0.5789473684210527,0.5,0.4977578475336323,12.899969949892634,8.1729143510886,3.871867856127526,1.4126215307508339,0.47366985266119804
0.630002,6.2333,9.48075675398614,9.117575198210806,9.278098384809311,9.278098384809311,9.390562584187979,9.449844168868422,9.449844168868422,-3.51613174482012,-1.8174456741298453,-1.8174456741298453,-0.627328701099013,0.0,2.659354055726773,4.0524521841043235,4.742014854768208,8.729245695529968,9.556224292048093,9.556224292048093,-72.17149813091275,-57.593584450749624,-50.37773591486205,-8.653821543371143,0.0,0.044444444444444446,0.4661016949152542,0.4935064935064935,0.4957627118644068,0.8088888888888889,0.538135593220339,0.49783549783549785,0.4977578475336323,15.373176543256772,12.437779361461601,4.38053287557392,1.5361436003894848,0.3614941667701102
0.650003,6.0415,10.438894914753652,11.008607934400311,11.008607934400311,11.008607934400311,11.008607934400311,11.008607934400311,11.008607934400311,0.0,0.0,0.0,0.0,0.0,3.787819665216374,5.526038073917535,7.142681123803593,10.310602166566962,11.08574781109604,11.08574781109604,-65.83162697039674,-50.15186915594123,-35.568792962669775,-6.9922720391781965,0.0,0.03292181069958848,0.2033195020746888,0.49377593360995853,0.49586776859504134,0.8683127572016461,0.6887966804979253,0.49795918367346936,0.497907949790795,13.20346357296272,4.423330672171728,4.368736785338893,1.0835929394661028,0.31617417201760184
0.669998,5.8612,11.373283070559317,12.756212210916903,12.950676191713487,12.950676191713487,12.950676191713487,12.950676191713487,12.950676191713487,-1.5015739558140782,0.0,0.0,0.0,0.0,4.9018412640683175,6.783836582280322,8.70423824072417,12.755981285915452,13.062699874329038,13.062699874329038,-62.474516667863824,-48.06711746005898,-33.365702921569564,-2.3480489589778686,0.0,0.022813688212927757,0.11278195488721804,0.13793103448275862,0.49624060150375937,0.9118773946360154,0.7218045112781954,0.5113636363636364,0.49809885931558934,8.141646163454183,5.055798210001993,3.6376702804605534,0.745540198934033,0.3044434151695419
0.679998,5.7750,11.671176463075094,14.472412058282677,14.547575773077005,14.553769071902003,14.733374737826935,14.733374737826935,14.733374737826935,-1.771234928778771,-1.2610754023170514,-1.2190395555731461,0.0,0.0,5.186664698952638,7.162770301737163,9.033754963448878,13.777414081331765,14.591935409715266,14.591935409715266,-64.45526550577127,-50.91281519127194,-38.090769251663275,-5.5819965310509465,0.0,0.02158273381294964,0.09712230215827339,0.09352517985611511,0.49640287769784175,0.9064748201438849,0.7769784172661871,0.5251798561151079,0.49818181818181817,9.003873819279383,3.8703862783579734,2.848059830507724,0.8132499512817788,0.26220286660044956
0.689999,5.6913,11.551024040611377,16.187436005764024,16.695870810780594,16.93705142341666,16.93705142341666,16.93705142341666,16.93705142341666,-4.425890899854262,-1.4239822895183245,0.0,0.0,0.0,5.286376348527351,8.071701002628084,10.402002900990269,14.602405285453273,16.60781256782088,16.60781256782088,-68.1693400203096,-51.39816896616641,-37.366809394603365,-12.075083784683736,0.0,0.016835016835016835,0.10616438356164383,0.06734006734006734,0.49666666666666665,0.9259259259259259,0.7876712328767124,0.6599326599326599,0.5,10.92987002732542,5.535898086467828,5.121973359750967,1.0729453523095411,0.2854028719936674
