eta,L0,KR,lit_25,lit_25_scatter,fit_25,fit_25_scatter,w1.5_25,w1.5_25_scatter,w3.0_25,w3.0_25_scatter,w5.0_25,w5.0_25_scatter,fit_25_failed,fit_25_used,lit_100,lit_100_scatter,fit_100,fit_100_scatter,w1.5_100,w1.5_100_scatter,w3.0_100,w3.0_100_scatter,w5.0_100,w5.0_100_scatter,fit_100_failed,fit_100_used,lit_200,lit_200_scatter,fit_200,fit_200_scatter,w1.5_200,w1.5_200_scatter,w3.0_200,w3.0_200_scatter,w5.0_200,w5.0_200_scatter,fit_200_failed,fit_200_used
0.157080,24.9999,1.984948135780803,1.834566179881717,0.13483406252462976,2.0285957765061693,0.011017463252585392,2.014393003756927,0.009459944710000426,2.014393003756927,0.009459944710000426,2.014393003756927,0.009459944710000426,0,225,1.330847067750991,0.515553253627542,2.023028006253532,0.0027546615294351175,2.019463907837196,0.003237115158149388,2.019463907837196,0.003237115158149388,2.019463907837196,0.003237115158149388,0,225,0.946718477370562,0.6532954100509104,2.0241014812343314,0.002676170874828382,2.0182626182110948,0.001755193380225407,2.0182626182110948,0.001755193380225407,2.0182626182110948,0.001755193380225407,0,225
0.196350,20.0000,2.1798054812196286,2.1268535629319785,0.08099713528048529,2.2287308112044855,0.009249912537898152,2.219547452468426,0.014242941036232495,2.219547452468426,0.014242941036232495,2.219547452468426,0.014242941036232495,0,225,1.5074966083537045,0.46776788773344724,2.2244272177466278,0.003914961548639626,2.2122109167467543,0.0053600215407073205,2.2122109167467543,0.0053600215407073205,2.2122109167467543,0.0053600215407073205,0,225,1.1309820398212593,0.6757981196989516,2.223933528188081,0.0034898987629990064,2.213871675790755,0.004301446336131899,2.213871675790755,0.004301446336131899,2.213871675790755,0.004301446336131899,0,225
0.261799,15.0000,2.572551171599921,2.4495887429860903,0.13819078363991216,2.6336474074181315,0.010316964207533901,2.6176451513860504,0.017020908294303937,2.6176451513860504,0.017020908294303937,2.6176451513860504,0.017020908294303937,0,225,1.7758734117147508,0.5768055049544084,2.629194163689442,0.005067284436301606,2.6154766279190613,0.00774576357498667,2.6154766279190613,0.00774576357498667,2.6154766279190613,0.00774576357498667,0,225,1.1956759048598864,0.8584116911524813,2.6303972241577855,0.004024912363634114,2.6176674993919318,0.008043386753344893,2.6176674993919318,0.008043386753344893,2.6176674993919318,0.008043386753344893,0,225
0.392699,10.0000,3.746079766236013,3.5390513321783814,0.21255785117292814,3.8415357202791314,0.01477746768578098,3.8190193396545253,0.02905180613401288,3.8190193396545253,0.02905180613401288,3.8190193396545253,0.02905180613401288,0,225,2.4574778639082977,0.90985996258143,3.838837984315756,0.009673821134619879,3.818394893539555,0.009262729120314542,3.818394893539555,0.009262729120314542,3.818394893539555,0.009262729120314542,0,225,1.5360573734540666,1.2720357063072762,3.840339843552473,0.00959143876138112,3.819444621485955,0.008462732006127634,3.819444621485955,0.008462732006127634,3.819444621485955,0.008462732006127634,0,225
0.523599,7.5000,5.932127977955907,5.346390888836234,0.5733418878274303,6.127971000596658,0.025464996044767187,6.089890907621402,0.0539621745959284,6.089890907621402,0.0539621745959284,6.089890907621402,0.0539621745959284,0,225,2.6721122308657566,2.0331212942009307,6.1303591571409894,0.01043133429593165,6.09239683674712,0.02039777724133395,6.09239683674712,0.02039777724133395,6.09239683674712,0.02039777724133395,0,225,1.522695413893735,2.170416461583521,6.1308503962788015,0.013086925314831153,6.111657336206191,0.01609882146471055,6.111657336206191,0.01609882146471055,6.111657336206191,0.01609882146471055,0,225
0.549999,7.1400,6.601846652256098,5.854034617268635,0.6314397618027785,6.845023710453745,0.03266937293504843,6.755740966647193,0.05047799155773372,6.755740966647193,0.05047799155773372,6.755740966647193,0.05047799155773372,0,225,2.1337983503300197,2.610706422169959,6.832264112862665,0.025990200523800452,6.753752381942938,0.038718110629274514,6.753752381942938,0.038718110629274514,6.753752381942938,0.038718110629274514,0,225,1.0546086083578645,2.642867521203222,6.833776704984617,0.024598146331588158,6.767433714723941,0.030555930573434673,6.767433714723941,0.030555930573434673,6.767433714723941,0.030555930573434673,0,225
0.569996,6.8895,7.187661854020839,6.200506669807798,0.8490880131911094,7.378316623921293,0.04475570588411097,7.315266478755826,0.06774584228551887,7.315266478755826,0.06774584228551887,7.315266478755826,0.06774584228551887,0,225,2.2183935221344444,2.7673481249251655,7.351742191167397,0.033569483597191495,7.283264747433589,0.0238226960080478,7.283264747433589,0.0238226960080478,7.283264747433589,0.0238226960080478,0,225,1.2855275734041987,2.5726698393444685,7.351774888649322,0.03286155125176399,7.247882707945024,0.049313804336867266,7.247882707945024,0.049313804336867266,7.247882707945024,0.049313804336867266,0,225
0.590001,6.6559,7.854710064972021,5.704752184727599,1.521824818632957,7.9756246266700375,0.06529417877058644,7.8648732647401705,0.06993604539449613,7.8648732647401705,0.06993604539449613,7.8648732647401705,0.06993604539449613,0,225,2.4357019208129964,2.7266980859336107,7.968355790858187,0.06100901626198742,7.950576835657119,0.08745022122012465,7.950576835657119,0.08745022122012465,7.950576835657119,0.08745022122012465,0,225,1.1459440048652183,2.278535988206378,7.969912101136992,0.058620212892945,7.960315289859119,0.04890156489605842,7.960315289859119,0.04890156489605842,7.960315289859119,0.04890156489605842,0,225
0.609999,6.4377,8.615615852995166,6.633249407756338,1.2913200656662958,8.686384079293063,0.10492783480912174,8.606669704501254,0.05616971435527083,8.606669704501254,0.05616971435527083,8.606669704501254,0.05616971435527083,0,225,1.7871136833316958,3.092074994666472,8.640728158602142,0.08379333438323701,8.623254616423376,0.08122410651955547,8.623254616423376,0.08122410651955547,8.623254616423376,0.08122410651955547,0,225,0.8227339039223178,1.9853365514926489,8.650348768564614,0.08869545181732905,8.617417015254832,0.07034592991769108,8.617417015254832,0.07034592991769108,8.617417015254832,0.07034592991769108,0,225
0.630002,6.2333,9.48075675398614,7.543149568968967,1.2615201657399848,9.555663501530216,0.1176431107551327,9.449844168868422,0.10953690203532529,9.449844168868422,0.10953690203532529,9.390562584187979,0.16246223088070624,0,225,2.313114063465781,2.4197185632744396,9.576255819958932,0.12237233341098616,9.500138343415788,0.07990979865165596,9.500138343415788,0.07990979865165596,9.500138343415788,0.07990979865165596,0,225,0.8594605685219737,1.727454156309354,9.588409649945657,0.1269783528076875,9.556224292048093,0.10316168492599452,9.556224292048093,0.10316168492599452,9.556224292048093,0.10316168492599452,0,225
