eta,N,M,n,gamma_over_f0,sd_x_slow,sd_x_slow_over_L0
0.50,100,1000,10,0.0475945479693133,0.016584742575359714,0.0021116349102098418
0.50,100,200,10,0.06999702957992032,0.037353714263323845,0.004756022392631387
0.50,100,2000,10,0.042736860336843936,0.012748133406341603,0.0016231426818067067
0.50,100,50,10,0.13394899106879465,0.056307153801072284,0.0071692491529866354
0.50,100,500,10,0.050181929790114155,0.017520731271359294,0.0022308086867730654
0.50,400,1000,10,0.051615775771600036,0.019367252321338034,0.0012329575974515622
0.50,400,200,10,0.06591420249529059,0.029507008545580256,0.0018784745383968791
0.50,400,2000,10,0.027146425585676894,0.011652771805710269,0.0007418385060946647
0.50,400,50,10,0.1410145936902217,0.0648894423809324,0.004130990274227944
0.50,400,500,10,0.05203036334783581,0.022826828930075923,0.0014532010885228036
0.50,900,1000,10,0.0407013364185911,0.018703588534409548,0.0007938049483779691
0.50,900,200,10,0.0774665624452316,0.04937243836012449,0.002095431355948097
0.50,900,2000,10,0.03610001230797652,0.013885888090649603,0.0005893353919062964
0.50,900,50,10,0.08077684776654402,0.07211535369194799,0.0030606706573650007
0.50,900,500,10,0.04020306857068578,0.020535286538594103,0.0008715446258190528
0.50,1600,1000,10,0.02874434094647254,0.018017641941496076,0.0005735193288416015
0.50,1600,200,10,0.049572980726704366,0.03050592066656089,0.0009710335682766044
0.50,1600,2000,10,0.02967652053017951,0.012298631505636542,0.0003914775812332057
0.50,1600,50,10,0.08949243480131518,0.054740578539638964,0.0017424466512540697
0.50,1600,500,10,0.0357236886362189,0.022863269820190844,0.0007277604475090102
0.60,100,1000,10,0.08384848146981981,0.01201332016211728,0.0018355000297353289
0.60,100,200,10,0.16778058088751663,0.021243134143621892,0.0032457116622302256
0.60,100,2000,10,0.06940545858650185,0.011665012459510503,0.0017822825353320908
0.60,100,50,10,0.2244586641946188,0.03423022582248077,0.005229993013350033
0.60,100,500,10,0.1219392694407499,0.015803789144141427,0.002414641002865771
0.60,400,1000,10,0.0541502870748136,0.011532774326587312,0.0008810390862336887
0.60,400,200,10,0.10521429537853753,0.024436999686086397,0.0018668493169148373
0.60,400,2000,10,0.04600210486876358,0.007807722169954526,0.0005964660550345479
0.60,400,50,10,0.13866228279872467,0.03880915930689772,0.0029648014679712164
0.60,400,500,10,0.08189592358063652,0.015687843655597944,0.0011984630105386761
0.60,900,1000,10,0.06386733755724243,0.010690710602868293,0.0005444734223909204
0.60,900,200,10,0.09635583143536958,0.02301311685845001,0.001172048422341606
0.60,900,2000,10,0.06803666169498954,0.006259600617615907,0.0003187988430029379
0.60,900,50,10,0.11735669058089757,0.043268328079382114,0.0022036378633421864
0.60,900,500,10,0.05940772528417157,0.015825862808750986,0.0008060045777927967
0.60,1600,1000,10,0.04891102118502644,0.010779158181077294,0.0004117335101918035
0.60,1600,200,10,0.05383507756056173,0.018970094327679023,0.0007246042218692344
0.60,1600,2000,10,0.03399713355997546,0.0070186266675936,0.00026809178843363997
0.60,1600,50,10,0.09470319450035579,0.039901533188858126,0.0015241262857357354
0.60,1600,500,10,0.06480788781230581,0.01271476886376607,0.00048566839150259556
0.65,100,1000,10,0.08191294402820726,0.007469962953867393,0.0012364368582939327
0.65,100,200,10,0.10825935172038037,0.012652112173986211,0.002094192156480089
0.65,100,2000,10,0.05664048401058701,0.00803328429916137,0.0013296784551648506
0.65,100,50,10,0.19191958000943932,0.028122134147800494,0.0046548079835154995
0.65,100,500,10,0.09201453688309266,0.008340461824742794,0.001380522832441416
0.65,400,1000,10,0.10550089632079351,0.008726216478749072,0.0007221866334191868
0.65,400,200,10,0.1527893679796195,0.015790800798850157,0.0013068556453631989
0.65,400,2000,10,0.08295299574788852,0.006208129160275489,0.0005137882963377445
0.65,400,50,10,0.18792713392945937,0.019849468305073385,0.0016427532740348387
0.65,400,500,10,0.12158290712264097,0.012233682526130201,0.0010124665162021772
0.65,900,1000,10,0.07740369566727551,0.009798409781878034,0.000540614655135767
0.65,900,200,10,0.14315737949511662,0.019200187941460518,0.0010593456707344508
0.65,900,2000,10,0.08160668537985588,0.00724290744416965,0.00039961810102614
0.65,900,50,10,0.1869011074376256,0.031144848367634988,0.0017183769442532513
0.65,900,500,10,0.12977710021847483,0.011475589171685268,0.0006331508704610733
0.65,1600,1000,10,0.08158361592575641,0.00904273184672839,0.0003741908125477431
0.65,1600,200,10,0.12174646347156978,0.015992064124026473,0.0006617561562494066
0.65,1600,2000,10,0.08373748547794457,0.006219880453927633,0.0002573804200383377
0.65,1600,50,10,0.14704945335218184,0.032551525274904326,0.0013469913626479675
0.65,1600,500,10,0.08799281636173462,0.011515641365521077,0.00047652051090420455
